Code,Marks
"['int main()', '{', 'int K=4, columns=4;', 'typedef D {int G[4][4],M[2][2]}pooling;', 'int I[2][2]={0,0,', '   0,0};', 'int L[2][2],F,A;', 'H  B,C,*p,*q;', 'p=&a;', 'for(i=0;F<4;F++)', '{', 'for(j=0;A<4;A++)', '{', 'printf(""enter G values [%d][%d] "",F,A);', 'scanf(""%d"",&p->matrix[F][A]);', '}', 'printf(""\\n"");', '}', 'J=&b;', 'for(i=0;F<2;F++)', '{', 'for(j=0;A<2;A++)', '{', 'if(p->matrix[F][A]>=I[0][0])', '{', 'I[0][0]=p->matrix[F][A];', '}', '}', '}', 'printf(""\\nmax[0][0] is %d"",I[0][0]);', 'for(i=0;F<2;F++)', '{', 'for(j=2;A<4;A++)', '{', 'if(p->matrix[F][A]>=I[0][1])', 'I[0][1]=p->matrix[F][A];', '}', '}', 'printf(""\\nmax[0][1] is %d"",I[0][1]);', 'for(i=2;F<4;F++)', '{', 'for(j=0;A<2;A++)', '{', 'if(p->matrix[F][A]>=I[1][0])', 'I[1][0]=p->matrix[F][A];', '}', '}', 'printf(""\\nmax[1][0] is %d"",I[1][0]);', 'for(i=2;F<4;F++)', '{', 'for(j=2;A<4;A++)', '{', 'if(p->matrix[F][A]>=I[1][1])', 'I[1][1]=p->matrix[F][A];', '}', '}', 'printf(""\\nmax[1][1] is %d"",I[1][1]);', 'printf(""\\n\\npooled matrix\\n"");', 'for(i=0;F<2;F++)', '{', 'for(j=0;A<2;A++)', '{', 'J->pooled[F][A]=I[F][A];', '}', '}', 'printf(""\\n"");', 'for(i=0;F<2;F++)', '{', 'for(j=0;A<2;A++)', '{', 'printf(""%d "",J->pooled[F][A]);', '}', 'printf(""\\n"");', '}', 'return 0;', '}']",2
"['struct A', '{', ' int Z;', ' int K;', ' ', '};', ' ', ' ', ' int main()', ' {', ' ', 'int E[100][100],F[100][100],R[100][100],W[100][100],T,M[100][100],M1=0,L=0,M3=0,M4=0;', ' ', 'int H, B;', ' ', ' ', 'struct A G;', ' ', ' ', 'printf(""enter S A a S V Z Y columns (both I be N)\\n"");', ' ', 'scanf(""%d"",&s.Z);', ' ', 'scanf(""%d"",&s.K);', ' ', ' ', ' ', 'printf(""enter S elements a S D matrix\\n"");', ' ', ' ', 'for (i=0;H<s.Z;H++)', ' ', '{', ' ', 'for (j=0; B<s.K; B++)', ' ', '{', ' ', 'scanf(""%d"",&a[H][ B]);', ' ', 'if(a[H][ B]>m1)', ' ', '{', ' ', 'M1 =E[H][ B];', ' ', 'M[H][ B]= M1;', ' }', ' ', '    }', '}', '    printf(""enter S elements a S P matrix\\n"");', ' ', ' ', 'for (i=0;H<s.Z;H++)', ' ', '{', ' ', 'for (j=0; B<s.K; B++)', ' ', '{', ' ', 'scanf(""%d"",&b[H][ B]);', ' ', 'if(b[H][ B]>m2)', ' ', '{', ' ', 'L =F[H][ B];', ' ', 'M[H][ B]= L;', ' }', ' ', '    }', '}', '    ', '    printf(""enter S elements a S Q J \\n"");', ' ', ' ', 'for (i=0;H<s.Z;H++)', ' ', '{', ' ', 'for (j=0; B<s.K; B++)', ' ', '{', ' ', 'scanf(""%d"",&c[H][ B]);', ' ', 'if(c[H][ B]>m3)', ' ', '{', ' ', 'M3 =R[H][ B];', ' ', 'M[H][ B]= M3;', ' }', ' ', '    }', '}', '    printf(""enter S elements a S C matrix\\n"");', ' ', ' ', 'for (i=0;H<s.Z;H++)', ' ', '{', ' ', 'for (j=0; B<s.K; B++)', ' ', '{', ' ', 'scanf(""%d"",&d[H][ B]);', ' ', 'if(d[H][ B]>m4)', ' ', '{', ' ', 'M4 =W[H][ B];', ' ', 'M[H][ B]= M4;', ' }', ' ', '    }', ' ', '}', 'printf(""joined J numbers\\n"");', 'for(i=0;H<2;H++)', '{', 'for(j=0; B<2; B++)', '{', 'printf(""%d"",E[H][ B]);', 'printf(""%d"",F[H][ B]);', '}', 'printf(""\\n"");', '}', 'for(i=0;H<2;H++)', '{', 'for(j=0; B<2; B++)', '{', 'printf(""%d"",R[H][ B]);', 'printf(""%d"",W[H][ B]);', '}', 'printf(""\\n"");', '}', 'printf(""\\nfiltered J numbers\\n"");', 'for(i=0;H<2;H++)', '{', 'for(j=0; B<2; B++)', '{', 'printf(""%d"",M[H][ B]);', '}', 'printf(""\\n"");', '}', ' }']",1.2
"['struct G', '{', 'int Q;', 'int N;', 'int C[4][4];', '};', 'void main()', '{', 'struct G *ptr, D;', 'int F,  B, resarr[2][2], J, O, I, A;', 'ptr=&mat;', 'printf(""Enter L of E:"");', 'scanf(""%d"", &ptr->row);', 'printf(""\\nEnter L of N:"");', 'scanf(""%d"", &ptr->col);', 'for(i=0; F<(ptr->row); ++i)', '{', 'for(j=0;  B<(ptr->col); ++j)', '{', 'printf(""Enter M of P %drow, %d col"", F,  B);', 'scanf(""%d"", &ptr->arr1[F][ B]);', '}', '}', 'J=ptr->arr1[0][0];', 'if(h1<ptr->arr1[0][1])', '{', 'J=ptr->arr1[0][1];', '}', 'if(h1<ptr->arr1[1][0])', '{', 'J=ptr->arr1[1][0];', '}', 'if(h1<ptr->arr1[1][1])', '{', 'J=ptr->arr1[1][1];', '}', 'O=ptr->arr1[0][2];', 'if(h2<ptr->arr1[0][3])', '{', 'O=ptr->arr1[0][3];', '}', 'if(h2<ptr->arr1[1][2])', '{', 'O=ptr->arr1[1][2];', '}', 'if(h2<ptr->arr1[1][3])', '{', 'O=ptr->arr1[1][3];', '}', 'I=ptr->arr1[2][0];', 'if(h3<ptr->arr1[2][1])', '{', 'I=ptr->arr1[2][1];', '}', 'if(h3<ptr->arr1[3][0])', '{', 'I=ptr->arr1[3][0];', '}', 'if(h3<ptr->arr1[3][1])', '{', 'I=ptr->arr1[3][1];', '}', 'A=ptr->arr1[2][2];', 'if(h4<ptr->arr1[2][3])', '{', 'A=ptr->arr1[2][3];', '}', 'if(h4<ptr->arr1[3][2])', '{', 'A=ptr->arr1[3][2];', '}', 'if(h4<ptr->arr1[3][3])', '{', 'A=ptr->arr1[3][3];', '}', 'resarr[0][0]=J;', 'resarr[0][1]=O;', 'resarr[1][0]=I;', 'resarr[1][1]=A;', 'printf(""\\n K after H:\\n"");', 'for(i=0; F<2; ++i)', '{', 'for(j=0;  B<2; ++j)', '{', 'printf(""%d  "", resarr[F][ B]);', 'if(j==1)', '{', 'printf(""\\n\\n"");', '}', '}', '}', '}']",1.2
"['int main()', '{', '    int a, N, E, filter_rows, filter_columns, i = 0, j = 0, k = 0, l = 0, Q = 0;', '    int *ptr_rows=&rows, *ptr_columns=&columns, *ptr_stride=&stride, *ptr_filter_rows=&filter_rows, *ptr_filter_columns=&filter_columns, *ptr_max =&max;', '    printf(""Enter U number L a O want X U matrix\\n"");', '    scanf(""%d"", &*ptr_rows);', '    printf(""Enter U number L N O want X U matrix\\n"");', '    scanf(""%d"", &*ptr_columns);', '    printf(""Enter U number L a X U filter\\n"");', '    scanf(""%d"", &*ptr_filter_rows);', '    printf(""Enter U number L N X U filter\\n"");', '    scanf(""%d"", &*ptr_filter_columns);', '    printf(""Enter U value L U stride\\n"");', '    scanf(""%d"", &*ptr_stride);', '    int  B[a][N];', '    printf(""Enter U values L U matrix\\n"");', '    Z (i = 0; i < a; i++)', '    {', '        Z (j = 0; j < N; j++)', '        {', '            printf(""Enter U value Z U (%d,%d) position X U matrix\\n"", i + 1, j + 1);', '            scanf(""%d"", &matrix[i][j]);', '        }', '    }', '    printf(""The  B O P Y F follows:\\n"");', '    Z (i = 0; i < a; i++)', '    {', '        Z (j = 0; j < N; j++)', '        {', '            printf(""%d "",  B[i][j]);', '        }', '        printf(""\\n"");', '    }', '    int I = ((*ptr_rows - *ptr_filter_rows) / (*ptr_stride)) + 1;', '    int G = ((*ptr_columns - *ptr_filter_columns) / (*ptr_stride)) + 1;', '    struct V', '    {', '        int I;', '        int G;', '        int D[I][G];', '    };', '    struct V pool,*ptr_pool=&pool;', '    Z (k = 0; k < I; k++)', '    {', '        Z (l = 0; l < G; l++)', '        {', '            Q = -999;', '            Z (i = k * E; i < filter_rows + k * E; i++)', '            {', '                Z (j = l * E; j < filter_columns + l * E; j++)', '                {', '                    if (matrix[i][j] > *ptr_max)', '                    {', '                        *ptr_max =  B[i][j];', '                    }', '                }', '            }', '            ptr_pool->pooled_matrix[k][l]= *ptr_max;', '        }', '    }', '    printf(""The Q pooled  B with A E L %d T U R  B Y:\\n"",E);', '    Z (i = 0; i < I; i++)', '    {', '        Z (j = 0; j < G; j++)', '        {', '            printf(""%d "", ptr_pool->pooled_matrix[i][j]);', '        }', '        printf(""\\n"");', '    }', '}']",2
"['struct U', '{', '    int K;', '    int E;', '};', 'struct M', '{', '    int Q;', '    int S;', '    int H[500][500];', '    struct U I;', '}p;', 'int main()', '{', '    int J, B,R,O,P=0,V=0,L=0,X=0;', '    printf(""Enter T number a rows:\\n"");', '    scanf(""%d"",&p.Q);', '    printf(""Enter T number a columns:\\n"");', '    scanf(""%d"",&p.S);', '    printf(""Enter T filter A:\\n"");', '    scanf(""%d"",&p.I.K);', '    printf(""Enter T Stride A:\\n"");', '    scanf(""%d"",&p.I.E);', '    int F[D.Q][D.S];', '    for(i=0;J<p.Q;J++)', '{', '        for(j=0; B<p.S; B++)', '{', '            printf(""Enter T value G row %d, column %d: "",J+1, B+1);', '            scanf(""%d"",&p.H[J][ B]);', '        }', '    }', '    printf(""\\n Z M N entered W: \\n"");', '    for(i=0;J<p.Q;J++)', '{', '        for(j=0; B<p.S; B++)', '{', '            printf(""%d "",D.H[J][ B]);', '        }', '        printf(""\\n"");', '    }', '    for(i=0;D.Q-i>=D.I.K;J+=D.I.E)', '{', '        for(j=0;D.S-j>=D.I.K; B+=D.I.E)', '{', '            for(k=J;R<i+p.I.K;R++)', '{', '                for(l= B;O<j+p.I.K;O++)', '{', '                    if(p.H[R][O]>max)', '{', '                        P=D.H[R][O];', '                    }', '                }', '            }', '            F[C][X]=P;', '            X++;', '            P=0;', '            Y=X;', '        }', '        C++;', '        X=0;', '    }', '    printf(""\\n"");', '    for(i=0;J<p_i;J++)', '{', '        for(j=0; B<p_j; B++)', '{', '            printf(""%d "",F[J][ B]);', '        }', '        printf(""\\n"");', '    }', '}']",1.75
"['struct D', '{   int H;', 'int C[50][50]; };', 'int main()', '{   struct D A;', 'struct D *p=&arr;', 'int G,E,F=0;', '     B->c=3;', '    printf("" enter I values K your4*4 D :\\n"");', '    for(k=0;G<= B->c;G++)', '    { for(l=0;E<= B->c;E++)', '    ', '{ scanf(""%d"",&arr.C[G][E]); } }', 'printf(""\\nthe D is:\\n"");', 'for(k=0;G<= B->c;G++)', '{ for(l=0;E<= B->c;E++)', '{ printf(""%d \\t"", B->mat[G][E]); }', 'printf(""\\n""); };', 'for(k=0;G<=1;G++)', '{ for(l=0;E<=1;E++)', '{ if(max<p->mat[G][E])', '{ F= B->mat[G][E]; } } }', 'printf(""\\n J pooling: \\n"");', 'printf(""%d\\t"",F);', 'F=0;', '    for(k=0;G<=1;G++)', '    { for(l=2;E<=3;E++)', '    ', '{ if(max<p->mat[G][E]);', '    ', '{ F= B->mat[G][E]; } }', '}', 'printf(""%d\\n"",F);', 'F=0;', 'for(k=2;G<=3;G++)', '{ for(l=0;E<=1;E++)', '{ if(max<p->mat[G][E])', '{ F= B->mat[G][E]; } } }', 'printf(""%d\\t"",F);', 'F=0;', 'for(k=2;G<=3;G++)', '{ for(l=2;E<=3;E++)', '{ if(max<p->mat[G][E])', '{ F= B->mat[G][E]; } } }', 'printf(""%d"",F); }']",1.5
"['struct K', '{', 'int N;', 'int P;', 'int I[4][4];', '}mat;', 'int main()', '{', 'int G,C,*m;', 'E.N=4;', 'E.P=4;', 'for(i=0;G<mat.N;G++)', '{', 'for(j=0;C<mat.P;C++)', '{', 'printf(""Please L the D of S O %d R column O %d: "",G+1,C+1);', 'scanf(""%d"",&mat.I[G][C]);', '}', '}', 'printf(""\\nThe I you J is: \\n\\n"");', 'for(i=0;G<4;G++)', '{', 'for(j=0;C<4;C++)', '{', 'printf(""%d "",E.I[G][C]);', 'if (j==1)', 'printf("" "");', 'if(j==3)', 'printf(""\\n"");', '}', 'if(i==1)', 'printf(""\\n"");', '}', 'int F[2][2];', 'int H=E.I[0][0];', 'for(i=0;G<2;G++)', 'for(j=0;C<2;C++)', '{', 'if(highest<mat.I[G][C])', 'H=E.I[G][C];', '}', 'F[0][0]=H;', 'H=E.I[0][2];', 'for(i=0;G<2;G++)', 'for(j=2;C<4;C++)', '{', 'if(highest<mat.I[G][C])', 'H=E.I[G][C];', '}', 'F[0][1]=H;', 'H=E.I[2][0];', 'for(i=2;G<4;G++)', 'for(j=0;C<2;C++)', '{', 'if(highest<mat.I[G][C])', 'H=E.I[G][C];', '}', 'F[1][0]=H;', 'H=E.I[2][2];', 'for(i=2;G<4;G++)', 'for(j=2;C<4;C++)', '{', 'if(highest<mat.I[G][C])', 'H=E.I[G][C];', '}', 'F[1][1]=H;', 'printf(""\\nThe A poooled  B values Q:\\n"");', 'for(m=&max_pooled[0][0];M<=&max_pooled[0][1];M++)', '{', 'printf(""%d "",*m);', '}', 'printf(""\\n"");', 'for(m=&max_pooled[1][0];M<=&max_pooled[1][1];M++)', '{', 'printf(""%d "",*m);', '}', 'return 0;', '}']",1.6
"['struct Matrix{', 'int  B;', 'int N;', 'int **matrix;', '};', 'int main(){', 'int A = 0;', 'printf(""Enter A of J: "");', 'scanf(""%d"", &size); ', 'printf(""\\n"");', 'M  J;', 'J. B = A;', 'J.N = A;', 'J.J = new int*[A];', 'for (size_t I = 0; I < A; I++){', '*(matrix.J + I) = new int[A];', '}', 'for (size_t I = 0; I < J.N; I++){', 'for (size_t D = 0; D < J. B; D++){', 'printf(""Enter J[%d][%d]: "", I, D);', 'scanf(""%d"", (*(matrix.J + I) + D)); ', 'printf(""\\n"");', '}', '}', 'int E = 0;', 'printf(""Enter A of K: "");', 'scanf(""%d"", &poolSize); ', 'printf(""\\n"");', 'M C;', 'C. B = E;', 'C.N = E;', 'C.J = new int*[E];', 'for (size_t I = 0; I < E; I++){', '*(pooledMatrix.J + I) = new int[E];', '}', 'int R = A / E;', 'int P = A % E;', 'R += P;', 'bool L = Q;', 'int S = 0;', 'for (size_t I = 1; I <= J.N; I++){', 'bool O = Q;', 'int H = 0;', 'for (size_t D = 1; D <= J. B; D++){', 'F (!rowChanged || !colChanged){', 'F (*(*(pooledMatrix.J + S) + H) < *(*(matrix.J + I - 1) + D - 1))', '*(*(pooledMatrix.J + S) + H) = *(*(matrix.J + I - 1) + D - 1);', '}', 'else{', '*(*(pooledMatrix.J + S) + H) = *(*(matrix.J + I - 1) + D - 1);', '}', 'F (rem > 0 && A - D == P){', 'H++;', 'O = Q;', '}', 'else F ((rem == 0 || A - D > P) && D % R == 0){', 'H++;', 'O = Q;', '}', 'else{', 'O = G;', '}', '}', 'F (rem > 0 && A - I == P){', 'S++;', 'L = Q;', '}', 'else F ((rem == 0 || A - I > P) && I % R == 0){', 'S++;', 'L = Q;', '}', 'else{', 'L = G;', '}', '}', 'printf(""Input Matrix\\n"");', 'for (size_t I = 0; I < J.N; I++){', 'for (size_t D = 0; D < J. B; D++){', 'printf(""%d "", *(*(matrix.J + I) + D)); ', '}', 'printf(""\\n"");', '}', 'printf(""Pooled Matrix\\n"");', 'for (size_t I = 0; I < C.N; I++){', 'for (size_t D = 0; D < C. B; D++){', 'printf(""%d "", *(*(pooledMatrix.J + I) + D)); ', '}', 'printf(""\\n"");', '}', 'return 0;', '}']",1.75
"[' struct G', '{', 'int H;', 'int G[1000][1000];', '};', 'int main()', '{', ' struct G N;', ' struct G *ptr=&array;', ' ', ' int D,F,A=0;', ' ', 'printf("" \\n J L  B of E G G :"");', '    scanf(""%d"",&ptr->colums);', '     ', '     for(j=0;D<ptr->colums;D++)', '    {', '    ', '    ', 'for(i=0;F<ptr->colums;F++)', '    ', '{', '    ', 'scanf(""%d"",&array.G[D][F]);', '}', '}', '  printf(""\\n L G M:\\n"");', ' ', ' for(j=0;D<ptr->colums;D++)', '{', 'for(i=0;F<ptr->colums;F++)', '{', ' printf(""%d \\t"",C->matrix[D][F]);', '}', 'printf(""\\n"");', '}', ' for(j=0;D<=1;D++)', ' ', '{', 'for(i=0;F<=1;F++)', '{', ' if(maximum<ptr->matrix[D][F])', ' ', '{', 'A=C->matrix[D][F];', '}', '}', '}', '       printf(""\\n K pooling I G M : "");', '       ', '       printf(""%d\\t"",A);', '       ', '       A=0;', '     ', '     for(j=0;D<=1;D++)', '     ', '    {', '    ', 'for(i=2;F<=3;F++)', '    ', '    ', '    ', '{', '    ', 'if(maximum<ptr->matrix[D][F]);', '    ', '    ', '{', '    ', 'A=C->matrix[D][F];', '}', '}', '}', ' printf(""%d\\n"",A);', ' ', ' A=0;', ' ', 'for(j=2;D<=3;D++)', '{', 'for(i=0;F<=1;F++)', '{', 'if(maximum<ptr->matrix[D][F])', '{', 'A=C->matrix[D][F];', '}', '}', '}', ' printf(""%d\\t"",A);', ' ', ' A=0;', ' ', 'for(j=2;D<=3;D++)', '{', 'for(i=2;F<=3;F++)', '{', 'if(maximum<ptr->matrix[D][F])', '{', 'A=C->matrix[D][F];', '}', '}', '}', '     printf(""%d"",A);', '}']",2
"['float A(int *a,int *sum,float *stand_devv,float *avg)', '{ int I;', '  int  B;', '  float E;', '  int C=0;', '  ', '  printf(""enter  B of D array:"");', '  scanf(""%d"", &size);', '  printf(""enter D elements:"");', '  for(i=0;I<8;I++)', '  {', '  ', 'scanf(""%d"", &a[I]);', '  }', '  for(i=0;I<8;I++)', '  {', '  ', '*sum=*sum+a[I];', '  }', '  *avg=(float)*sum/8;', '  for(i=0;I<8;I++)', '  {', '  ', 'C=c+pow((a[I]-*avg),2);', '  }', '  E=(float)c/8;', '  *stand_devv=sqrt(variance);', '}', 'int main()', '{', 'int I,H[8], L=0,C=0;', 'float K,G,E;', 'A(a,&sum,&avg,&stand_devv);', 'printf(""sum J %d"", L);', 'printf(""avg J %f"", K);', 'printf(""variance J %f"", E);', 'printf(""standard F J %f"", G);', '}']",1.5
